intencao,frase
abrir_spotify,quero ouvir um som
abrir_spotify,toca uma musica pra mim
abrir_spotify,abrir spotify
abrir_spotify,quero escutar algo
abrir_spotify,bota uma musica
fechar_spotify,não quero mais ouvir
fechar_spotify,fechar sportify
fechar_spotify,interrompe a musica
fechar_spotify,para o spotify
abrir_red,abrir jogo favorito
abrir_red,abre red dead
abrir_red,quero jogar red dead redemption dois
abrir_red,executa red dead
fechar_red,sair do jogo
fechar_red,encerra a gameplay
fechar_red,não quero mais jogar
fechar_red,cansei do red dead redemption
enviar_mensagem,envia uma mensagem para
enviar_mensagem,manda uma mensagem
enviar_mensagem,quero enviar uma mensagem no whatssap
encerrar_conversa,encerra as atividades
encerrar_conversa,tchau 
encerrar_conversa,tchau até mais
encerrar_conversa,desliga
encerrar_conversa,encerrar conversa
encerrar_conversa,tchau

